,name,acres,shore_miles,county
4325,,0.28096973,0.0813289,
4326,,0.15869526,0.05928929,
4327,,0.21469143,0.0711592,
4328,,1.11872182,0.17447737,
4329,,0.18210285,0.06981095,
4330,,0.17266093,0.06812863,
4331,,0.69146486,0.11945764,
4332,,0.15337853,0.05702362,
4333,,0.22763488,0.07219975,
4334,,0.32299441,0.08431055,
4335,,0.19977183,0.06555414,
4336,,0.29858642,0.08908552,
4337,,0.37981418,0.09383669,
4338,,1.59605352,0.24094015,
4339,,11.09429186,1.59751265,
4340,,0.33377035,0.08580747,
4341,,0.25077755,0.07463615,
4342,,0.30693282,0.086663,
4343,,0.44849082,0.14560863,
4344,,0.33981287,0.09142488,
4345,,0.21060783,0.0809124,
4346,,0.35785174,0.09674614,
4347,,0.20894835,0.07240189,
4348,,0.15359787,0.05948604,
4349,,0.18554413,0.06745067,
4350,,0.23119604,0.07327019,
4351,,0.30191087,0.08907233,
4352,,0.22310191,0.06816751,
4353,,0.11277858,0.05506141,
4354,,0.45438164,0.10170742,
4355,,0.28600353,0.08375818,
4356,,0.11204412,0.05968754,
4357,,1.07166239,0.19883855,
4358,Unnamed,20.54683859,0.83151758,Lake
4359,,10.90599162,0.47698041,
4360,,0.19090845,0.06422727,
4361,Unnamed,12.38645923,0.86870067,Jackson
4362,,0.73503557,0.15854636,
4363,,0.36439882,0.09320011,
4364,Unnamed,7.84787504,0.49406427,Sherburne
4365,,2.29336413,0.31564683,
4366,Unnamed,22.93068899,1.31121955,St. Louis
4367,,0.21490739,0.08399504,
4368,Spring,4.29219456,0.30612348,Hennepin
4369,Unnamed,16.05231572,0.91206938,Lake
4370,Unnamed,3.66322125,0.47007139,Scott
4371,,0.59195538,0.11928432,
4372,,0.13786108,0.05859708,
4373,,0.11821452,0.05160774,
4374,Unnamed,11.4295248,0.67220729,Crow Wing
4375,,0.22818747,0.08289575,
4376,Unnamed,8.35541198,0.41882482,Lake
4377,Unnamed,2.87867248,0.27318585,Hennepin
4378,,4.55831926,0.50765564,
4379,,3.20435403,0.31302132,St. Louis
4380,,0.19553252,0.06862095,
4381,,0.17608117,0.06523033,
4382,,0.18407322,0.06659482,
4383,,0.52563204,0.10848072,
4384,,0.26122195,0.07975362,
4385,,0.3182723,0.08237398,
4386,,0.31927666,0.08620267,
4387,,0.19729931,0.06578061,
4388,,0.30195065,0.08314128,
4389,,0.14740547,0.05806839,
4390,,0.14949081,0.06277059,
4391,,0.27359959,0.07823754,
4392,,0.15653531,0.05980405,
4393,,0.72037697,0.14871415,
4394,Teske Pond,7.7771108,0.51209852,Beltrami
4395,,0.19870161,0.06561885,
4396,Unnamed,2.98116326,0.29331356,Scott
4397,Unnamed,25.08744195,0.84124065,Stevens
4398,Shagawa Pond,2.83336632,0.44039857,St. Louis
4399,Unnamed,16.76192469,1.46175135,Itasca
4400,Unnamed,20.39793217,0.7261695,Itasca
4401,,4.62917923,0.66280987,
4402,Unnamed,17.12494863,1.04240627,Clay
4403,Unnamed,11.2495187,0.64497557,Douglas
4404,,0.33189015,0.08623963,
4405,,2.31412893,0.22718387,
4406,,0.36601603,0.09123322,
4407,,0.11933203,0.05618953,
4408,Jones,145.8059702,3.80951368,Grant
4409,,1.15433706,0.16533223,
4410,,0.36564821,0.08644123,
4411,,0.28292326,0.0770757,
4412,,0.37769426,0.09168001,
4413,Unnamed,43.92653419,1.92321339,Stevens
4414,,0.91425186,0.17022375,
4415,,0.2823816,0.0863422,
4416,,9.25967851,0.46491946,Crow Wing
4417,,2.46461019,0.25271271,Koochiching
4418,,6.26342218,0.3589128,Aitkin
4419,,6.17400451,0.41606582,St. Louis
4420,,3.60107865,0.31500058,Clearwater
4421,,3.81184688,0.31668119,Cook
4422,,1.27533706,0.16747241,Dakota
4423,,2.84316893,0.35760936,Beltrami
4424,,3.36891787,0.34519709,Beltrami
4425,,5.37428232,0.4214835,Cook
4426,,2.06831064,0.28629255,St. Louis
4427,,8.24958412,0.65647817,Lake
4428,,4.36107546,0.44796446,St. Louis
4429,,5.26284835,0.41595217,Lake
4430,,4.82516297,0.44869536,Lake
4431,,5.77843197,0.55348988,Hubbard
4432,,7.2271681,0.40013947,Sherburne
4433,,5.20966087,0.53844903,Chisago
4434,,3.9446311,0.31737219,Itasca
4435,,6.63931532,0.37633086,Becker
4436,,2.87868941,0.35921096,
4437,,0.19198272,0.06746194,
4438,,1.18455971,0.1565596,
4439,,0.25662574,0.07517635,
4440,,5.12788367,0.42233948,
4441,,0.13479523,0.05701432,
4442,,0.81474938,0.14081017,
4443,,0.1468464,0.06045052,
4444,,0.12526324,0.05167928,
4445,,1.37758229,0.21093216,
4446,,0.28346355,0.08933617,
4447,,0.44250268,0.11490224,
4448,,1.68992139,0.23189488,
4449,,1.10421163,0.15274335,
4450,,0.79047375,0.15664,
4451,,0.75755111,0.14344315,
4452,,0.95819405,0.1504645,
4453,,0.16196149,0.05863329,
4454,,1.11244943,0.16312595,
4455,,0.69687893,0.13755989,
4456,,0.33443027,0.08619592,
4457,,0.15130993,0.06416869,
4458,,0.12057187,0.06189573,
4459,,2.28134172,0.21878307,
4460,,0.24067604,0.07495604,
4461,,0.21139697,0.07300626,
4462,,0.1744761,0.06059992,
4463,,0.2890566,0.07932812,
4464,,0.32222281,0.08433623,
4465,,0.3166321,0.08129067,
4466,,0.24883129,0.07388602,
4467,,0.20372854,0.06748953,
4468,,0.23983441,0.07205199,
4469,,3.03542765,0.37617921,
4470,,0.27371711,0.07750717,
4471,,0.23433598,0.07145609,
4472,,0.30893792,0.08431204,
4473,,0.20921878,0.06812847,
4474,,0.16255829,0.06060492,
4475,,0.23220762,0.07821322,
4476,,0.4566389,0.13795426,
4477,,0.24045849,0.07243092,
4478,,0.89972635,0.14330735,
4479,,0.39330807,0.09626,
4480,,0.12098478,0.05185817,
4481,,1.33768225,0.23255823,
4482,,3.05387091,0.41733205,
4483,,0.31056767,0.08771272,
4484,,0.46623411,0.109785,
4485,,0.15848423,0.06364454,
4486,,0.20883183,0.06629322,
4487,,0.86758687,0.19086698,
4488,,0.27482479,0.0871145,
4489,,0.24941418,0.07788009,
4490,,0.82240615,0.15532847,
4491,,0.23688332,0.0759904,
4492,,0.17005197,0.06373441,
4493,,0.33561881,0.09357804,
4494,,0.4912147,0.10324989,
4495,,1.63546697,0.25107232,
4496,,0.44400443,0.108256,
4497,Swan,560.3724523,6.46932264,Sibley
