,name,acres,shore_miles,county
6541,Unnamed,59.50398923,1.84329797,Swift
6542,Unnamed,57.62111818,1.89572432,Todd
6543,Unnamed,84.05122141,2.38268284,Otter Tail
6544,Unnamed,64.85608108,2.72463703,Martin
6545,Pauline,63.06579262,1.69681208,St. Louis
6546,Unnamed,16.66054277,0.90941552,Grant
6547,Unnamed,12.57540198,0.71547523,Lake
6548,Unnamed,32.08713486,0.9187543,Otter Tail
6549,Unnamed,39.47525562,2.11491615,Lac Qui Parle
6550,Unnamed (John Brady Wetland),39.60537532,1.83485054,Swift
6551,Unnamed,42.60022137,1.15772618,Murray
6552,Unnamed,65.03051588,2.1566583,Meeker
6553,Unnamed,82.08763708,2.54931682,Murray
6554,Mud,27.99805915,1.35720514,Douglas
6555,Dia Linn,13.11686197,1.06580073,Kandiyohi
6556,Unnamed,46.92562176,1.37044965,Grant
6557,Mud,11.12388252,0.87287918,Cass
6558,Unnamed,12.79597174,0.64061089,Grant
6559,Unnamed,16.11660989,0.69886573,Lac Qui Parle
6560,Unnamed,71.67979867,2.00780696,Martin
6561,Doe,15.87382431,0.72363261,Itasca
6562,Unnamed,31.99955996,1.29784771,Pine
6563,Smetana,52.22615201,1.60447287,Hennepin
6564,Unnamed,10.79747228,0.5784478,Otter Tail
6565,Unnamed,26.33213111,1.18927245,Itasca
6566,Marble,139.8944103,2.15888282,Itasca
6567,Unnamed,15.64246458,0.88715758,Itasca
6568,Unnamed,44.55400412,2.3990113,Clay
6569,Unnamed,21.21604261,0.84237663,Cass
6570,Unnamed,17.93997189,0.86505054,Beltrami
6571,Graham,34.16957062,1.03640326,Carlton
6572,Rainy,129.3902275,2.80174512,Cass
6573,Unnamed,22.65744674,1.55399523,Beltrami
6574,Black Dog,510.1179254,9.37264073,Dakota
6575,Brandon,219.3896876,7.30614626,Douglas
6576,Stud,13.73642248,0.85499077,Morrison
6577,School,113.5318115,2.42483079,Watonwan
6578,Unnamed (Schelicher),20.29547373,0.83397978,Polk
6579,Unnamed,21.33425605,1.21288857,Sherburne
6580,Unnamed,11.34368023,0.77749495,Polk
6581,Unnamed,37.91640545,1.15693733,Polk
6582,Unnamed,23.83615087,0.73706672,Otter Tail
6583,Unnamed,11.92902167,0.50611504,Le Sueur
6584,Slotsye,18.79120392,0.84367237,Grant
6585,Corner,12.88379967,0.71752352,Morrison
6586,Unnamed,15.90112671,1.50124176,Nicollet
6587,Unnamed,27.09623288,0.77291326,Murray
6588,Anderson,21.53618428,0.73313328,Grant
